t,baseline,uav_xyz,coverage_tau_db,coverage_count,coverage_ratio,best_sinr_mean,best_sinr_min,best_sinr_max,load_var,per_uav_load_min,per_uav_load_mean,per_uav_load_max
32,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,42.0,0.28,-64.76338195800781,-120.00000762939453,81.2582015991211,1383.3878173828125,2.0,28.799999237060547,112.0
33,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,30.0,0.2,-81.34147644042969,-120.00000762939453,81.2582015991211,1732.244873046875,2.0,29.799999237060547,123.0
34,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,38.0,0.25333333333333335,-71.01485443115234,-120.00000762939453,80.41886138916016,1594.2447509765625,2.0,29.0,119.0
35,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,35.0,0.23333333333333334,-74.15131378173828,-120.00000762939453,80.58164978027344,1627.6734619140625,1.0,28.799999237060547,120.0
36,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,44.0,0.29333333333333333,-62.69232940673828,-120.00000762939453,83.90336608886719,1384.244873046875,1.0,28.799999237060547,112.0
37,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,33.0,0.22,-77.49246978759766,-120.00000762939453,83.55046081542969,1663.959228515625,2.0,29.0,121.0
38,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,39.0,0.26,-70.31940460205078,-120.00000762939453,83.47614288330078,1536.244873046875,2.0,29.399999618530273,117.0
39,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,30.0,0.2,-80.88786315917969,-120.00000762939453,83.0970687866211,1763.1016845703125,1.0,29.600000381469727,124.0
40,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,34.0,0.22666666666666666,-77.14139556884766,-120.00000762939453,82.03337860107422,1657.1019287109375,2.0,28.399999618530273,121.0
41,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,36.0,0.24,-74.07869720458984,-120.00000762939453,84.91583251953125,1631.3878173828125,2.0,29.399999618530273,120.0
42,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,42.0,0.28,-66.6202621459961,-120.00000762939453,80.48137664794922,1447.3876953125,4.0,29.399999618530273,114.0
43,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,29.0,0.19333333333333333,-83.19002532958984,-120.00000762939453,81.3064193725586,1729.3875732421875,1.0,29.0,123.0
44,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,38.0,0.25333333333333335,-69.86808776855469,-120.00000762939453,83.0970687866211,1531.3876953125,2.0,28.600000381469727,117.0
45,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,37.0,0.24666666666666667,-74.42900848388672,-120.00000762939453,81.75041961669922,1472.8162841796875,1.0,28.799999237060547,115.0
46,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,40.0,0.26666666666666666,-69.72337341308594,-120.00000762939453,84.79646301269531,1438.81640625,4.0,29.0,114.0
47,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,32.0,0.21333333333333335,-78.83975219726562,-120.00000762939453,82.55708312988281,1667.6732177734375,3.0,29.799999237060547,121.0
48,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,37.0,0.24666666666666667,-73.11213684082031,-120.00000762939453,83.44859313964844,1505.9591064453125,3.0,29.200000762939453,116.0
